nutrition,value,measure,food_product,pr_daily_norm
Vitamin D (D2 + D3),0.0,UG,hummus,0.0
Vitamin B-12,0.0,UG,hummus,0.0
Cholesterol,0.0,MG,hummus,0.0
"Vitamin C, total ascorbic acid",0.0,MG,hummus,0.0
Thiamin,0.16,MG,hummus,13.333333333333334
Riboflavin,0.127,MG,hummus,9.769230769230768
Vitamin K (phylloquinone),22.8,UG,hummus,19.0
"Fatty acids, total saturated",2.56,G,hummus,12.8
Protein,7.78,G,hummus,15.560000000000002
"Fiber, total dietary",5.5,G,hummus,19.642857142857142
"Iron, Fe",2.54,MG,hummus,14.11111111111111
"Magnesium, Mg",75.0,MG,hummus,17.857142857142858
"Phosphorus, P",181,MG,hummus,14.48
"Sodium, Na",426,MG,hummus,18.521739130434785
"Copper, Cu",0.377,MG,hummus,41.888888888888886
"Manganese, Mn",1.16,MG,hummus,50.43478260869565
"Vitamin A, RAE",1.0,UG,hummus,0.1111111111111111
"Folate, DFE",48.0,UG,hummus,12.0
Niacin,1.02,MG,hummus,6.375
Pantothenic acid,0.346,MG,hummus,6.92
Vitamin B-6,0.146,MG,hummus,8.588235294117647
Total lipid (fat),17.8,G,hummus,22.82051282051282
"Carbohydrate, by difference",15.0,G,hummus,5.454545454545454
"Calcium, Ca",47.0,MG,hummus,3.6153846153846154
"Potassium, K",312,MG,hummus,6.6382978723404245
"Zinc, Zn",1.44,MG,hummus,13.09090909090909
"Selenium, Se",4.7,UG,hummus,8.545454545454547
Vitamin E (alpha-tocopherol),1.54,MG,hummus,10.266666666666667
Protein,2.95,G,ice cream,5.9
Total lipid (fat),12.7,G,ice cream,16.28205128205128
"Carbohydrate, by difference",39.3,G,ice cream,14.290909090909091
"Fiber, total dietary",0.5,G,ice cream,1.7857142857142856
"Calcium, Ca",99.0,MG,ice cream,7.615384615384616
"Iron, Fe",0.48,MG,ice cream,2.6666666666666665
"Magnesium, Mg",9.0,MG,ice cream,2.142857142857143
"Phosphorus, P",112,MG,ice cream,8.959999999999999
"Potassium, K",121,MG,ice cream,2.574468085106383
"Sodium, Na",196,MG,ice cream,8.521739130434783
"Zinc, Zn",0.47,MG,ice cream,4.2727272727272725
"Copper, Cu",0.023,MG,ice cream,2.5555555555555554
"Selenium, Se",3.0,UG,ice cream,5.454545454545454
"Vitamin A, RAE",68.0,UG,ice cream,7.555555555555555
Vitamin E (alpha-tocopherol),1.09,MG,ice cream,7.2666666666666675
Vitamin D (D2 + D3),0.2,UG,ice cream,1.0
"Vitamin C, total ascorbic acid",0.3,MG,ice cream,0.3333333333333333
Thiamin,0.054,MG,ice cream,4.5
Riboflavin,0.24,MG,ice cream,18.46153846153846
Niacin,0.416,MG,ice cream,2.6
Vitamin B-6,0.038,MG,ice cream,2.235294117647059
Vitamin B-12,0.25,UG,ice cream,10.416666666666668
"Choline, total",28.3,MG,ice cream,5.1454545454545455
Vitamin K (phylloquinone),6.2,UG,ice cream,5.166666666666667
"Folate, DFE",18.0,UG,ice cream,4.5
Cholesterol,44.0,MG,ice cream,14.666666666666666
"Fatty acids, total saturated",4.81,G,ice cream,24.05
Protein,0.09,G,iced coffee,0.18
Total lipid (fat),0.02,G,iced coffee,0.02564102564102564
"Carbohydrate, by difference",0.0,G,iced coffee,0.0
"Fiber, total dietary",0.0,G,iced coffee,0.0
"Calcium, Ca",2.0,MG,iced coffee,0.15384615384615385
"Iron, Fe",0.01,MG,iced coffee,0.05555555555555555
"Magnesium, Mg",3.0,MG,iced coffee,0.7142857142857143
"Phosphorus, P",2.0,MG,iced coffee,0.16
"Potassium, K",38.0,MG,iced coffee,0.8085106382978723
"Sodium, Na",2.0,MG,iced coffee,0.08695652173913043
"Zinc, Zn",0.02,MG,iced coffee,0.18181818181818182
"Copper, Cu",0.004,MG,iced coffee,0.4444444444444444
"Selenium, Se",0.0,UG,iced coffee,0.0
"Vitamin A, RAE",0.0,UG,iced coffee,0.0
Vitamin E (alpha-tocopherol),0.01,MG,iced coffee,0.06666666666666667
Vitamin D (D2 + D3),0.0,UG,iced coffee,0.0
"Vitamin C, total ascorbic acid",0.0,MG,iced coffee,0.0
Thiamin,0.011,MG,iced coffee,0.9166666666666666
Riboflavin,0.058,MG,iced coffee,4.461538461538462
Niacin,0.146,MG,iced coffee,0.9125
Vitamin B-6,0.001,MG,iced coffee,0.05882352941176471
Vitamin B-12,0.0,UG,iced coffee,0.0
"Choline, total",2.0,MG,iced coffee,0.36363636363636365
Vitamin K (phylloquinone),0.1,UG,iced coffee,0.08333333333333334
"Folate, DFE",2.0,UG,iced coffee,0.5
Cholesterol,0.0,MG,iced coffee,0.0
"Fatty acids, total saturated",0.002,G,iced coffee,0.01
Protein,0.0,G,iced tea,0.0
Total lipid (fat),0.22,G,iced tea,0.28205128205128205
"Carbohydrate, by difference",6.2,G,iced tea,2.2545454545454544
"Fiber, total dietary",0.0,G,iced tea,0.0
"Calcium, Ca",1.0,MG,iced tea,0.07692307692307693
"Iron, Fe",0.0,MG,iced tea,0.0
"Magnesium, Mg",0.0,MG,iced tea,0.0
"Phosphorus, P",31.0,MG,iced tea,2.48
"Potassium, K",12.0,MG,iced tea,0.2553191489361702
"Sodium, Na",21.0,MG,iced tea,0.9130434782608696
"Zinc, Zn",0.01,MG,iced tea,0.09090909090909091
"Copper, Cu",0.005,MG,iced tea,0.5555555555555556
"Selenium, Se",0.0,UG,iced tea,0.0
"Vitamin A, RAE",0.0,UG,iced tea,0.0
Vitamin E (alpha-tocopherol),0.0,MG,iced tea,0.0
Vitamin D (D2 + D3),0.0,UG,iced tea,0.0
"Vitamin C, total ascorbic acid",0.0,MG,iced tea,0.0
Thiamin,0.0,MG,iced tea,0.0
Riboflavin,0.0,MG,iced tea,0.0
Niacin,0.0,MG,iced tea,0.0
Vitamin B-6,0.0,MG,iced tea,0.0
Vitamin B-12,0.0,UG,iced tea,0.0
"Choline, total",0.0,MG,iced tea,0.0
Vitamin K (phylloquinone),0.0,UG,iced tea,0.0
"Folate, DFE",0.0,UG,iced tea,0.0
Cholesterol,0.0,MG,iced tea,0.0
"Fatty acids, total saturated",0.0,G,iced tea,0.0
Protein,1.34,G,jalapeño,2.68
Total lipid (fat),2.15,G,jalapeño,2.7564102564102564
"Carbohydrate, by difference",29.6,G,jalapeño,10.763636363636364
"Fiber, total dietary",1.8,G,jalapeño,6.42857142857143
"Calcium, Ca",39.0,MG,jalapeño,3.0
"Iron, Fe",0.12,MG,jalapeño,0.6666666666666666
"Magnesium, Mg",8.0,MG,jalapeño,1.9047619047619049
"Phosphorus, P",37.0,MG,jalapeño,2.96
"Potassium, K",134,MG,jalapeño,2.851063829787234
"Sodium, Na",62.0,MG,jalapeño,2.6956521739130435
"Zinc, Zn",0.14,MG,jalapeño,1.2727272727272727
"Copper, Cu",0.025,MG,jalapeño,2.777777777777778
"Selenium, Se",0.4,UG,jalapeño,0.7272727272727273
"Vitamin A, RAE",5.0,UG,jalapeño,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,jalapeño,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,jalapeño,0.0
"Vitamin C, total ascorbic acid",3.6,MG,jalapeño,4.0
Thiamin,0.038,MG,jalapeño,3.166666666666667
Riboflavin,0.084,MG,jalapeño,6.461538461538462
Niacin,0.105,MG,jalapeño,0.65625
Vitamin B-6,0.045,MG,jalapeño,2.6470588235294117
Vitamin B-12,0.08,UG,jalapeño,3.3333333333333335
"Choline, total",4.6,MG,jalapeño,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,jalapeño,1.7500000000000002
"Folate, DFE",3.0,UG,jalapeño,0.75
Cholesterol,2.0,MG,jalapeño,0.6666666666666667
"Fatty acids, total saturated",0.64,G,jalapeño,3.2
Protein,0.18,G,jam or jelly,0.36
Total lipid (fat),0.03,G,jam or jelly,0.038461538461538464
"Carbohydrate, by difference",67.1,G,jam or jelly,24.399999999999995
"Fiber, total dietary",1.0,G,jam or jelly,3.571428571428571
"Calcium, Ca",11.0,MG,jam or jelly,0.8461538461538461
"Iron, Fe",0.29,MG,jam or jelly,1.6111111111111112
"Magnesium, Mg",5.0,MG,jam or jelly,1.1904761904761905
"Phosphorus, P",9.0,MG,jam or jelly,0.72
"Potassium, K",61.0,MG,jam or jelly,1.297872340425532
"Sodium, Na",26.0,MG,jam or jelly,1.1304347826086958
"Zinc, Zn",0.06,MG,jam or jelly,0.5454545454545454
"Copper, Cu",0.036,MG,jam or jelly,3.9999999999999996
"Selenium, Se",0.9,UG,jam or jelly,1.6363636363636365
"Vitamin A, RAE",0.0,UG,jam or jelly,0.0
Vitamin E (alpha-tocopherol),0.05,MG,jam or jelly,0.33333333333333337
Vitamin D (D2 + D3),0.0,UG,jam or jelly,0.0
"Vitamin C, total ascorbic acid",5.5,MG,jam or jelly,6.111111111111111
Thiamin,0.009,MG,jam or jelly,0.75
Riboflavin,0.038,MG,jam or jelly,2.923076923076923
Niacin,0.061,MG,jam or jelly,0.38125
Vitamin B-6,0.019,MG,jam or jelly,1.1176470588235294
Vitamin B-12,0.0,UG,jam or jelly,0.0
"Choline, total",9.1,MG,jam or jelly,1.6545454545454543
Vitamin K (phylloquinone),0.3,UG,jam or jelly,0.25
"Folate, DFE",5.0,UG,jam or jelly,1.25
Cholesterol,0.0,MG,jam or jelly,0.0
"Fatty acids, total saturated",0.006,G,jam or jelly,0.030000000000000002
"Vitamin A, RAE",1.0,UG,jerusalem artichoke,0.1111111111111111
"Fatty acids, total saturated",0.0,G,jerusalem artichoke,0.0
"Carbohydrate, by difference",17.4,G,jerusalem artichoke,6.327272727272727
"Folate, DFE",13.0,UG,jerusalem artichoke,3.25
"Choline, total",30.0,MG,jerusalem artichoke,5.454545454545454
"Fiber, total dietary",1.6,G,jerusalem artichoke,5.714285714285714
"Iron, Fe",3.4,MG,jerusalem artichoke,18.88888888888889
"Magnesium, Mg",17.0,MG,jerusalem artichoke,4.0476190476190474
"Phosphorus, P",78.0,MG,jerusalem artichoke,6.239999999999999
"Sodium, Na",4.0,MG,jerusalem artichoke,0.17391304347826086
"Copper, Cu",0.14,MG,jerusalem artichoke,15.555555555555555
"Manganese, Mn",0.06,MG,jerusalem artichoke,2.608695652173913
Protein,2.0,G,jerusalem artichoke,4.0
"Vitamin C, total ascorbic acid",4.0,MG,jerusalem artichoke,4.444444444444445
Thiamin,0.2,MG,jerusalem artichoke,16.666666666666668
Riboflavin,0.06,MG,jerusalem artichoke,4.615384615384615
Vitamin B-12,0.0,UG,jerusalem artichoke,0.0
Cholesterol,0.0,MG,jerusalem artichoke,0.0
Niacin,1.3,MG,jerusalem artichoke,8.125
Pantothenic acid,0.397,MG,jerusalem artichoke,7.9399999999999995
Vitamin B-6,0.077,MG,jerusalem artichoke,4.529411764705882
Total lipid (fat),0.01,G,jerusalem artichoke,0.01282051282051282
"Calcium, Ca",14.0,MG,jerusalem artichoke,1.0769230769230769
"Potassium, K",429,MG,jerusalem artichoke,9.127659574468085
"Zinc, Zn",0.12,MG,jerusalem artichoke,1.0909090909090908
Vitamin D (D2 + D3),0.0,UG,jerusalem artichoke,0.0
"Selenium, Se",0.7,UG,jerusalem artichoke,1.2727272727272725
Vitamin E (alpha-tocopherol),0.19,MG,jerusalem artichoke,1.2666666666666666
Vitamin K (phylloquinone),0.1,UG,jerusalem artichoke,0.08333333333333334
Protein,1.34,G,jícama,2.68
Total lipid (fat),2.15,G,jícama,2.7564102564102564
"Carbohydrate, by difference",29.6,G,jícama,10.763636363636364
"Fiber, total dietary",1.8,G,jícama,6.42857142857143
"Calcium, Ca",39.0,MG,jícama,3.0
"Iron, Fe",0.12,MG,jícama,0.6666666666666666
"Magnesium, Mg",8.0,MG,jícama,1.9047619047619049
"Phosphorus, P",37.0,MG,jícama,2.96
"Potassium, K",134,MG,jícama,2.851063829787234
"Sodium, Na",62.0,MG,jícama,2.6956521739130435
"Zinc, Zn",0.14,MG,jícama,1.2727272727272727
"Copper, Cu",0.025,MG,jícama,2.777777777777778
"Selenium, Se",0.4,UG,jícama,0.7272727272727273
"Vitamin A, RAE",5.0,UG,jícama,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,jícama,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,jícama,0.0
"Vitamin C, total ascorbic acid",3.6,MG,jícama,4.0
Thiamin,0.038,MG,jícama,3.166666666666667
Riboflavin,0.084,MG,jícama,6.461538461538462
Niacin,0.105,MG,jícama,0.65625
Vitamin B-6,0.045,MG,jícama,2.6470588235294117
Vitamin B-12,0.08,UG,jícama,3.3333333333333335
"Choline, total",4.6,MG,jícama,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,jícama,1.7500000000000002
"Folate, DFE",3.0,UG,jícama,0.75
Cholesterol,2.0,MG,jícama,0.6666666666666667
"Fatty acids, total saturated",0.64,G,jícama,3.2
Protein,1.34,G,kahlúa,2.68
Total lipid (fat),2.15,G,kahlúa,2.7564102564102564
"Carbohydrate, by difference",29.6,G,kahlúa,10.763636363636364
"Fiber, total dietary",1.8,G,kahlúa,6.42857142857143
"Calcium, Ca",39.0,MG,kahlúa,3.0
"Iron, Fe",0.12,MG,kahlúa,0.6666666666666666
"Magnesium, Mg",8.0,MG,kahlúa,1.9047619047619049
"Phosphorus, P",37.0,MG,kahlúa,2.96
"Potassium, K",134,MG,kahlúa,2.851063829787234
"Sodium, Na",62.0,MG,kahlúa,2.6956521739130435
"Zinc, Zn",0.14,MG,kahlúa,1.2727272727272727
"Copper, Cu",0.025,MG,kahlúa,2.777777777777778
"Selenium, Se",0.4,UG,kahlúa,0.7272727272727273
"Vitamin A, RAE",5.0,UG,kahlúa,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,kahlúa,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,kahlúa,0.0
"Vitamin C, total ascorbic acid",3.6,MG,kahlúa,4.0
Thiamin,0.038,MG,kahlúa,3.166666666666667
Riboflavin,0.084,MG,kahlúa,6.461538461538462
Niacin,0.105,MG,kahlúa,0.65625
Vitamin B-6,0.045,MG,kahlúa,2.6470588235294117
Vitamin B-12,0.08,UG,kahlúa,3.3333333333333335
"Choline, total",4.6,MG,kahlúa,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,kahlúa,1.7500000000000002
"Folate, DFE",3.0,UG,kahlúa,0.75
Cholesterol,2.0,MG,kahlúa,0.6666666666666667
"Fatty acids, total saturated",0.64,G,kahlúa,3.2
Protein,2.92,G,kale,5.84
Total lipid (fat),1.49,G,kale,1.9102564102564101
"Carbohydrate, by difference",4.42,G,kale,1.6072727272727274
"Fiber, total dietary",4.1,G,kale,14.64285714285714
"Calcium, Ca",254,MG,kale,19.538461538461537
"Iron, Fe",1.6,MG,kale,8.88888888888889
"Magnesium, Mg",33.0,MG,kale,7.857142857142857
"Phosphorus, P",55.0,MG,kale,4.3999999999999995
"Potassium, K",348,MG,kale,7.404255319148937
"Sodium, Na",53.0,MG,kale,2.3043478260869565
"Zinc, Zn",0.39,MG,kale,3.5454545454545454
"Copper, Cu",0.053,MG,kale,5.888888888888888
"Selenium, Se",0.9,UG,kale,1.6363636363636365
"Vitamin A, RAE",241,UG,kale,26.77777777777778
Vitamin E (alpha-tocopherol),0.66,MG,kale,4.4
Vitamin D (D2 + D3),0.0,UG,kale,0.0
"Vitamin C, total ascorbic acid",93.4,MG,kale,103.77777777777779
Thiamin,0.113,MG,kale,9.416666666666668
Riboflavin,0.347,MG,kale,26.692307692307686
Niacin,1.18,MG,kale,7.375
Vitamin B-6,0.147,MG,kale,8.647058823529411
Vitamin B-12,0.0,UG,kale,0.0
"Choline, total",0.5,MG,kale,0.09090909090909091
Vitamin K (phylloquinone),390,UG,kale,325.0
"Folate, DFE",62.0,UG,kale,15.5
Cholesterol,0.0,MG,kale,0.0
"Fatty acids, total saturated",0.178,G,kale,0.89
Protein,1.34,G,kirsch,2.68
Total lipid (fat),2.15,G,kirsch,2.7564102564102564
"Carbohydrate, by difference",29.6,G,kirsch,10.763636363636364
"Fiber, total dietary",1.8,G,kirsch,6.42857142857143
"Calcium, Ca",39.0,MG,kirsch,3.0
"Iron, Fe",0.12,MG,kirsch,0.6666666666666666
"Magnesium, Mg",8.0,MG,kirsch,1.9047619047619049
"Phosphorus, P",37.0,MG,kirsch,2.96
"Potassium, K",134,MG,kirsch,2.851063829787234
"Sodium, Na",62.0,MG,kirsch,2.6956521739130435
"Zinc, Zn",0.14,MG,kirsch,1.2727272727272727
"Copper, Cu",0.025,MG,kirsch,2.777777777777778
"Selenium, Se",0.4,UG,kirsch,0.7272727272727273
"Vitamin A, RAE",5.0,UG,kirsch,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,kirsch,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,kirsch,0.0
"Vitamin C, total ascorbic acid",3.6,MG,kirsch,4.0
Thiamin,0.038,MG,kirsch,3.166666666666667
Riboflavin,0.084,MG,kirsch,6.461538461538462
Niacin,0.105,MG,kirsch,0.65625
Vitamin B-6,0.045,MG,kirsch,2.6470588235294117
Vitamin B-12,0.08,UG,kirsch,3.3333333333333335
"Choline, total",4.6,MG,kirsch,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,kirsch,1.7500000000000002
"Folate, DFE",3.0,UG,kirsch,0.75
Cholesterol,2.0,MG,kirsch,0.6666666666666667
"Fatty acids, total saturated",0.64,G,kirsch,3.2
Protein,0.47,G,kiwi,0.9399999999999998
"Iron, Fe",0.17,MG,kiwi,0.9444444444444444
"Magnesium, Mg",6.0,MG,kiwi,1.4285714285714286
"Phosphorus, P",11.0,MG,kiwi,0.88
"Sodium, Na",2.0,MG,kiwi,0.08695652173913043
"Copper, Cu",0.061,MG,kiwi,6.777777777777777
"Manganese, Mn",0.089,MG,kiwi,3.8695652173913047
"Vitamin A, RAE",15.0,UG,kiwi,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,kiwi,0.0
"Vitamin C, total ascorbic acid",23.3,MG,kiwi,25.88888888888889
Thiamin,0.018,MG,kiwi,1.5
Riboflavin,0.018,MG,kiwi,1.3846153846153846
Vitamin B-12,0.0,UG,kiwi,0.0
Vitamin K (phylloquinone),5.9,UG,kiwi,4.916666666666667
Cholesterol,0.0,MG,kiwi,0.0
"Fatty acids, total saturated",0.0,G,kiwi,0.0
"Calcium, Ca",9.0,MG,kiwi,0.6923076923076923
"Potassium, K",123,MG,kiwi,2.617021276595745
"Zinc, Zn",0.06,MG,kiwi,0.5454545454545454
"Selenium, Se",0.3,UG,kiwi,0.5454545454545454
Vitamin E (alpha-tocopherol),0.41,MG,kiwi,2.733333333333333
Niacin,0.25,MG,kiwi,1.5625
Pantothenic acid,0.093,MG,kiwi,1.8599999999999999
Vitamin B-6,0.059,MG,kiwi,3.4705882352941178
"Choline, total",4.5,MG,kiwi,0.8181818181818182
"Folate, DFE",14.0,UG,kiwi,3.5000000000000004
Total lipid (fat),0.0,G,kiwi,0.0
"Carbohydrate, by difference",12.9,G,kiwi,4.6909090909090905
"Fiber, total dietary",2.0,G,kiwi,7.142857142857142
Protein,1.88,G,kumquat,3.7599999999999993
Total lipid (fat),0.86,G,kumquat,1.1025641025641024
"Carbohydrate, by difference",15.9,G,kumquat,5.781818181818181
"Fiber, total dietary",6.5,G,kumquat,23.214285714285715
"Calcium, Ca",62.0,MG,kumquat,4.769230769230769
"Iron, Fe",0.86,MG,kumquat,4.777777777777778
"Magnesium, Mg",20.0,MG,kumquat,4.761904761904762
"Phosphorus, P",19.0,MG,kumquat,1.52
"Potassium, K",186,MG,kumquat,3.957446808510638
"Sodium, Na",10.0,MG,kumquat,0.43478260869565216
"Zinc, Zn",0.17,MG,kumquat,1.5454545454545454
"Copper, Cu",0.095,MG,kumquat,10.555555555555555
"Selenium, Se",0.0,UG,kumquat,0.0
"Vitamin A, RAE",15.0,UG,kumquat,1.6666666666666667
Vitamin E (alpha-tocopherol),0.15,MG,kumquat,1.0
Vitamin D (D2 + D3),0.0,UG,kumquat,0.0
"Vitamin C, total ascorbic acid",43.9,MG,kumquat,48.77777777777778
Thiamin,0.037,MG,kumquat,3.0833333333333335
Riboflavin,0.09,MG,kumquat,6.9230769230769225
Niacin,0.429,MG,kumquat,2.68125
Vitamin B-6,0.036,MG,kumquat,2.1176470588235294
Vitamin B-12,0.0,UG,kumquat,0.0
"Choline, total",8.4,MG,kumquat,1.5272727272727273
Vitamin K (phylloquinone),0.0,UG,kumquat,0.0
"Folate, DFE",17.0,UG,kumquat,4.25
Cholesterol,0.0,MG,kumquat,0.0
"Fatty acids, total saturated",0.103,G,kumquat,0.515
Protein,1.34,G,kwanzaa,2.68
Total lipid (fat),2.15,G,kwanzaa,2.7564102564102564
"Carbohydrate, by difference",29.6,G,kwanzaa,10.763636363636364
"Fiber, total dietary",1.8,G,kwanzaa,6.42857142857143
"Calcium, Ca",39.0,MG,kwanzaa,3.0
"Iron, Fe",0.12,MG,kwanzaa,0.6666666666666666
"Magnesium, Mg",8.0,MG,kwanzaa,1.9047619047619049
"Phosphorus, P",37.0,MG,kwanzaa,2.96
"Potassium, K",134,MG,kwanzaa,2.851063829787234
"Sodium, Na",62.0,MG,kwanzaa,2.6956521739130435
"Zinc, Zn",0.14,MG,kwanzaa,1.2727272727272727
"Copper, Cu",0.025,MG,kwanzaa,2.777777777777778
"Selenium, Se",0.4,UG,kwanzaa,0.7272727272727273
"Vitamin A, RAE",5.0,UG,kwanzaa,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,kwanzaa,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,kwanzaa,0.0
"Vitamin C, total ascorbic acid",3.6,MG,kwanzaa,4.0
Thiamin,0.038,MG,kwanzaa,3.166666666666667
Riboflavin,0.084,MG,kwanzaa,6.461538461538462
Niacin,0.105,MG,kwanzaa,0.65625
Vitamin B-6,0.045,MG,kwanzaa,2.6470588235294117
Vitamin B-12,0.08,UG,kwanzaa,3.3333333333333335
"Choline, total",4.6,MG,kwanzaa,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,kwanzaa,1.7500000000000002
"Folate, DFE",3.0,UG,kwanzaa,0.75
Cholesterol,2.0,MG,kwanzaa,0.6666666666666667
"Fatty acids, total saturated",0.64,G,kwanzaa,3.2
Protein,27.4,G,lamb,54.79999999999999
Total lipid (fat),16.3,G,lamb,20.897435897435898
"Carbohydrate, by difference",0.0,G,lamb,0.0
"Fiber, total dietary",0.0,G,lamb,0.0
"Calcium, Ca",20.0,MG,lamb,1.5384615384615385
"Iron, Fe",1.89,MG,lamb,10.5
"Magnesium, Mg",26.0,MG,lamb,6.190476190476191
"Phosphorus, P",209,MG,lamb,16.72
"Potassium, K",349,MG,lamb,7.425531914893617
"Sodium, Na",387,MG,lamb,16.82608695652174
"Zinc, Zn",3.78,MG,lamb,34.36363636363636
"Copper, Cu",0.136,MG,lamb,15.11111111111111
"Selenium, Se",29.9,UG,lamb,54.36363636363636
"Vitamin A, RAE",0.0,UG,lamb,0.0
Vitamin E (alpha-tocopherol),0.14,MG,lamb,0.9333333333333335
Vitamin D (D2 + D3),0.1,UG,lamb,0.5
"Vitamin C, total ascorbic acid",0.0,MG,lamb,0.0
Thiamin,0.104,MG,lamb,8.666666666666668
Riboflavin,0.263,MG,lamb,20.23076923076923
Niacin,6.92,MG,lamb,43.25
Vitamin B-6,0.144,MG,lamb,8.470588235294118
Vitamin B-12,2.48,UG,lamb,103.33333333333334
"Choline, total",100,MG,lamb,18.181818181818183
Vitamin K (phylloquinone),4.3,UG,lamb,3.5833333333333335
"Folate, DFE",21.0,UG,lamb,5.25
Cholesterol,97.0,MG,lamb,32.33333333333333
"Fatty acids, total saturated",6.6,G,lamb,32.99999999999999
Protein,27.4,G,lamb chop,54.79999999999999
Total lipid (fat),16.3,G,lamb chop,20.897435897435898
"Carbohydrate, by difference",0.0,G,lamb chop,0.0
"Fiber, total dietary",0.0,G,lamb chop,0.0
"Calcium, Ca",20.0,MG,lamb chop,1.5384615384615385
"Iron, Fe",1.89,MG,lamb chop,10.5
"Magnesium, Mg",26.0,MG,lamb chop,6.190476190476191
"Phosphorus, P",209,MG,lamb chop,16.72
"Potassium, K",349,MG,lamb chop,7.425531914893617
"Sodium, Na",387,MG,lamb chop,16.82608695652174
"Zinc, Zn",3.78,MG,lamb chop,34.36363636363636
"Copper, Cu",0.136,MG,lamb chop,15.11111111111111
"Selenium, Se",29.9,UG,lamb chop,54.36363636363636
"Vitamin A, RAE",0.0,UG,lamb chop,0.0
Vitamin E (alpha-tocopherol),0.14,MG,lamb chop,0.9333333333333335
Vitamin D (D2 + D3),0.1,UG,lamb chop,0.5
"Vitamin C, total ascorbic acid",0.0,MG,lamb chop,0.0
Thiamin,0.104,MG,lamb chop,8.666666666666668
Riboflavin,0.263,MG,lamb chop,20.23076923076923
Niacin,6.92,MG,lamb chop,43.25
Vitamin B-6,0.144,MG,lamb chop,8.470588235294118
Vitamin B-12,2.48,UG,lamb chop,103.33333333333334
"Choline, total",100,MG,lamb chop,18.181818181818183
Vitamin K (phylloquinone),4.3,UG,lamb chop,3.5833333333333335
"Folate, DFE",21.0,UG,lamb chop,5.25
Cholesterol,97.0,MG,lamb chop,32.33333333333333
"Fatty acids, total saturated",6.6,G,lamb chop,32.99999999999999
Total lipid (fat),11.4,G,lamb shank,14.615384615384617
"Carbohydrate, by difference",0.09,G,lamb shank,0.03272727272727273
"Calcium, Ca",7.0,MG,lamb shank,0.5384615384615384
"Potassium, K",286,MG,lamb shank,6.085106382978724
"Zinc, Zn",3.88,MG,lamb shank,35.27272727272727
"Selenium, Se",6.4,UG,lamb shank,11.636363636363637
Vitamin E (alpha-tocopherol),0.27,MG,lamb shank,1.8000000000000003
Niacin,4.09,MG,lamb shank,25.5625
Pantothenic acid,0.433,MG,lamb shank,8.66
Vitamin B-6,0.094,MG,lamb shank,5.529411764705882
Protein,20.1,G,lamb shank,40.2
"Fiber, total dietary",0.0,G,lamb shank,0.0
"Iron, Fe",1.28,MG,lamb shank,7.111111111111111
"Magnesium, Mg",19.0,MG,lamb shank,4.523809523809524
"Phosphorus, P",157,MG,lamb shank,12.559999999999999
"Sodium, Na",76.0,MG,lamb shank,3.304347826086956
"Copper, Cu",0.079,MG,lamb shank,8.777777777777777
"Manganese, Mn",0.008,MG,lamb shank,0.34782608695652173
"Vitamin A, RAE",8.0,UG,lamb shank,0.8888888888888888
Vitamin D (D2 + D3),0.0,UG,lamb shank,0.0
"Vitamin C, total ascorbic acid",0.0,MG,lamb shank,0.0
Thiamin,0.1,MG,lamb shank,8.333333333333334
Riboflavin,0.096,MG,lamb shank,7.384615384615384
Vitamin B-12,2.01,UG,lamb shank,83.74999999999999
Cholesterol,66.0,MG,lamb shank,22.0
"Fatty acids, total saturated",4.62,G,lamb shank,23.1
Protein,7.45,G,lasagna,14.899999999999999
Total lipid (fat),4.97,G,lasagna,6.371794871794871
"Carbohydrate, by difference",16.2,G,lasagna,5.890909090909091
"Fiber, total dietary",1.6,G,lasagna,5.714285714285714
"Calcium, Ca",82.0,MG,lasagna,6.3076923076923075
"Iron, Fe",0.73,MG,lasagna,4.055555555555555
"Magnesium, Mg",20.0,MG,lasagna,4.761904761904762
"Phosphorus, P",115,MG,lasagna,9.2
"Potassium, K",207,MG,lasagna,4.404255319148937
"Sodium, Na",390,MG,lasagna,16.956521739130434
"Zinc, Zn",0.89,MG,lasagna,8.090909090909092
"Copper, Cu",0.097,MG,lasagna,10.777777777777779
"Selenium, Se",16.6,UG,lasagna,30.181818181818183
"Vitamin A, RAE",42.0,UG,lasagna,4.666666666666667
Vitamin E (alpha-tocopherol),0.98,MG,lasagna,6.533333333333332
Vitamin D (D2 + D3),0.0,UG,lasagna,0.0
